Date, Time, Recording onset, Duration, Annotation, Linked channel
19-7月-1994, 23:47:00, 0, 660, Sleep stage W, 
19-7月-1994, 23:58:00, 660, 240, Sleep stage 1, 
20-7月-1994, 00:02:00, 900, 60, Sleep stage 2, 
20-7月-1994, 00:03:00, 960, 30, Sleep stage 1, 
20-7月-1994, 00:03:30, 990, 840, Sleep stage 2, 
20-7月-1994, 00:17:30, 1830, 30, Sleep stage 3, 
20-7月-1994, 00:18:00, 1860, 30, Sleep stage 2, 
20-7月-1994, 00:18:30, 1890, 90, Sleep stage 3, 
20-7月-1994, 00:20:00, 1980, 150, Sleep stage 2, 
20-7月-1994, 00:22:30, 2130, 30, Sleep stage 3, 
20-7月-1994, 00:23:00, 2160, 30, Sleep stage 2, 
20-7月-1994, 00:23:30, 2190, 90, Sleep stage 3, 
20-7月-1994, 00:25:00, 2280, 30, Sleep stage 2, 
20-7月-1994, 00:25:30, 2310, 180, Sleep stage 3, 
20-7月-1994, 00:28:30, 2490, 30, Sleep stage 2, 
20-7月-1994, 00:29:00, 2520, 30, Sleep stage 3, 
20-7月-1994, 00:29:30, 2550, 30, Sleep stage 2, 
20-7月-1994, 00:30:00, 2580, 30, Sleep stage 3, 
20-7月-1994, 00:30:30, 2610, 30, Sleep stage 2, 
20-7月-1994, 00:31:00, 2640, 30, Sleep stage 3, 
20-7月-1994, 00:31:30, 2670, 120, Sleep stage 2, 
20-7月-1994, 00:33:30, 2790, 30, Sleep stage 3, 
20-7月-1994, 00:34:00, 2820, 90, Sleep stage 2, 
20-7月-1994, 00:35:30, 2910, 60, Sleep stage W, 
20-7月-1994, 00:36:30, 2970, 30, Sleep stage 1, 
20-7月-1994, 00:37:00, 3000, 210, Sleep stage 2, 
20-7月-1994, 00:40:30, 3210, 30, Sleep stage 1, 
20-7月-1994, 00:41:00, 3240, 1920, Sleep stage 2, 
20-7月-1994, 01:13:00, 5160, 30, Sleep stage 1, 
20-7月-1994, 01:13:30, 5190, 720, Sleep stage 2, 
20-7月-1994, 01:25:30, 5910, 480, Sleep stage R, 
20-7月-1994, 01:33:30, 6390, 450, Sleep stage 2, 
20-7月-1994, 01:41:00, 6840, 30, Sleep stage 1, 
20-7月-1994, 01:41:30, 6870, 150, Sleep stage W, 
20-7月-1994, 01:44:00, 7020, 60, Sleep stage 1, 
20-7月-1994, 01:45:00, 7080, 1680, Sleep stage 2, 
20-7月-1994, 02:13:00, 8760, 30, Sleep stage 3, 
20-7月-1994, 02:13:30, 8790, 270, Sleep stage 2, 
20-7月-1994, 02:18:00, 9060, 30, Sleep stage 3, 
20-7月-1994, 02:18:30, 9090, 60, Sleep stage 2, 
20-7月-1994, 02:19:30, 9150, 60, Sleep stage 3, 
20-7月-1994, 02:20:30, 9210, 30, Sleep stage 2, 
20-7月-1994, 02:21:00, 9240, 30, Sleep stage 3, 
20-7月-1994, 02:21:30, 9270, 60, Sleep stage 2, 
20-7月-1994, 02:22:30, 9330, 60, Sleep stage 3, 
20-7月-1994, 02:23:30, 9390, 120, Sleep stage 2, 
