Date, Time, Recording onset, Duration, Annotation, Linked channel
20-7月-1994, 00:02:00, 750, 180, Sleep stage 1, 
20-7月-1994, 00:05:00, 930, 600, Sleep stage 2, 
20-7月-1994, 00:15:00, 1530, 30, Sleep stage 3, 
20-7月-1994, 00:15:30, 1560, 60, Sleep stage 2, 
20-7月-1994, 00:16:30, 1620, 60, Sleep stage W, 
20-7月-1994, 00:17:30, 1680, 120, Sleep stage 1, 
20-7月-1994, 00:19:30, 1800, 600, Sleep stage 2, 
20-7月-1994, 00:29:30, 2400, 30, Sleep stage 3, 
20-7月-1994, 00:30:00, 2430, 30, Sleep stage 2, 
20-7月-1994, 00:30:30, 2460, 180, Sleep stage 3, 
20-7月-1994, 00:33:30, 2640, 30, Sleep stage 2, 
20-7月-1994, 00:34:00, 2670, 60, Sleep stage 3, 
20-7月-1994, 00:35:00, 2730, 30, Sleep stage 4, 
20-7月-1994, 00:35:30, 2760, 30, Sleep stage 3, 
20-7月-1994, 00:36:00, 2790, 60, Sleep stage 4, 
20-7月-1994, 00:37:00, 2850, 150, Sleep stage 3, 
20-7月-1994, 00:39:30, 3000, 30, Sleep stage 4, 
20-7月-1994, 00:40:00, 3030, 30, Sleep stage 3, 
20-7月-1994, 00:40:30, 3060, 30, Sleep stage 4, 
20-7月-1994, 00:41:00, 3090, 30, Sleep stage 3, 
20-7月-1994, 00:41:30, 3120, 30, Sleep stage 4, 
20-7月-1994, 00:42:00, 3150, 30, Sleep stage 3, 
20-7月-1994, 00:42:30, 3180, 30, Sleep stage 4, 
20-7月-1994, 00:43:00, 3210, 30, Sleep stage 3, 
20-7月-1994, 00:43:30, 3240, 30, Sleep stage 4, 
20-7月-1994, 00:44:00, 3270, 30, Sleep stage 3, 
20-7月-1994, 00:44:30, 3300, 60, Sleep stage 4, 
20-7月-1994, 00:45:30, 3360, 120, Sleep stage 3, 
20-7月-1994, 00:47:30, 3480, 450, Sleep stage 4, 
20-7月-1994, 00:55:00, 3930, 30, Sleep stage 3, 
20-7月-1994, 00:55:30, 3960, 120, Sleep stage 4, 
20-7月-1994, 00:57:30, 4080, 30, Sleep stage 3, 
20-7月-1994, 00:58:00, 4110, 240, Sleep stage 4, 
20-7月-1994, 01:02:00, 4350, 30, Sleep stage 3, 
20-7月-1994, 01:02:30, 4380, 180, Sleep stage 4, 
20-7月-1994, 01:05:30, 4560, 30, Sleep stage 1, 
20-7月-1994, 01:06:00, 4590, 780, Sleep stage 2, 
20-7月-1994, 01:19:00, 5370, 360, Sleep stage R, 
20-7月-1994, 01:25:00, 5730, 30, Sleep stage W, 
20-7月-1994, 01:25:30, 5760, 60, Sleep stage 1, 
20-7月-1994, 01:26:30, 5820, 1290, Sleep stage 2, 
20-7月-1994, 01:48:00, 7110, 30, Sleep stage 3, 
20-7月-1994, 01:48:30, 7140, 60, Sleep stage 2, 
20-7月-1994, 01:49:30, 7200, 30, Sleep stage 3, 
20-7月-1994, 01:50:00, 7230, 30, Sleep stage 4, 
20-7月-1994, 01:50:30, 7260, 300, Sleep stage 3, 
20-7月-1994, 01:55:30, 7560, 30, Sleep stage 4, 
20-7月-1994, 01:56:00, 7590, 120, Sleep stage 3, 
20-7月-1994, 01:58:00, 7710, 30, Sleep stage 4, 
20-7月-1994, 01:58:30, 7740, 60, Sleep stage 3, 
20-7月-1994, 01:59:30, 7800, 60, Sleep stage 4, 
20-7月-1994, 02:00:30, 7860, 30, Sleep stage 3, 
20-7月-1994, 02:01:00, 7890, 30, Sleep stage 4, 
20-7月-1994, 02:01:30, 7920, 30, Sleep stage 3, 
20-7月-1994, 02:02:00, 7950, 150, Sleep stage 4, 
20-7月-1994, 02:04:30, 8100, 30, Sleep stage 3, 
20-7月-1994, 02:05:00, 8130, 60, Sleep stage 4, 
20-7月-1994, 02:06:00, 8190, 30, Sleep stage 3, 
20-7月-1994, 02:06:30, 8220, 30, Sleep stage 4, 
20-7月-1994, 02:07:00, 8250, 30, Sleep stage 3, 
20-7月-1994, 02:07:30, 8280, 30, Sleep stage 4, 
20-7月-1994, 02:08:00, 8310, 30, Sleep stage 3, 
20-7月-1994, 02:08:30, 8340, 120, Sleep stage 4, 
20-7月-1994, 02:10:30, 8460, 30, Sleep stage 3, 
20-7月-1994, 02:11:00, 8490, 30, Sleep stage 2, 
20-7月-1994, 02:11:30, 8520, 60, Sleep stage 3, 
20-7月-1994, 02:12:30, 8580, 210, Sleep stage 4, 
20-7月-1994, 02:16:00, 8790, 30, Sleep stage 3, 
20-7月-1994, 02:16:30, 8820, 60, Sleep stage 4, 
20-7月-1994, 02:17:30, 8880, 90, Sleep stage 1, 
20-7月-1994, 02:19:00, 8970, 60, Sleep stage 2, 
20-7月-1994, 02:20:00, 9030, 30, Sleep stage 1, 
20-7月-1994, 02:20:30, 9060, 120, Sleep stage 2, 
20-7月-1994, 02:22:30, 9180, 60, Sleep stage W, 
20-7月-1994, 02:23:30, 9240, 30, Sleep stage 1, 
20-7月-1994, 02:24:00, 9270, 540, Sleep stage 2, 
20-7月-1994, 02:33:00, 9810, 90, Sleep stage R, 
20-7月-1994, 02:34:30, 9900, 30, Movement time, 
20-7月-1994, 02:35:00, 9930, 30, Sleep stage R, 
20-7月-1994, 02:35:30, 9960, 90, Sleep stage 1, 
20-7月-1994, 02:37:00, 10050, 750, Sleep stage 2, 
20-7月-1994, 02:49:30, 10800, 30, Sleep stage W, 
20-7月-1994, 02:50:00, 10830, 30, Sleep stage 1, 
20-7月-1994, 02:50:30, 10860, 30, Sleep stage W, 
20-7月-1994, 02:51:00, 10890, 60, Sleep stage 1, 
20-7月-1994, 02:52:00, 10950, 630, Sleep stage 2, 
20-7月-1994, 03:02:30, 11580, 30, Sleep stage 1, 
20-7月-1994, 03:03:00, 11610, 30, Sleep stage W, 
20-7月-1994, 03:03:30, 11640, 150, Sleep stage 1, 
20-7月-1994, 03:06:00, 11790, 450, Sleep stage 2, 
20-7月-1994, 03:13:30, 12240, 2250, Sleep stage R, 
20-7月-1994, 03:51:00, 14490, 180, Sleep stage 2, 
20-7月-1994, 03:54:00, 14670, 30, Sleep stage W, 
20-7月-1994, 03:54:30, 14700, 30, Sleep stage 1, 
20-7月-1994, 03:55:00, 14730, 1650, Sleep stage 2, 
20-7月-1994, 04:22:30, 16380, 30, Sleep stage 3, 
20-7月-1994, 04:23:00, 16410, 60, Sleep stage 2, 
20-7月-1994, 04:24:00, 16470, 30, Sleep stage 3, 
20-7月-1994, 04:24:30, 16500, 30, Sleep stage W, 
20-7月-1994, 04:25:00, 16530, 30, Sleep stage 1, 
20-7月-1994, 04:25:30, 16560, 2040, Sleep stage 2, 
20-7月-1994, 04:59:30, 18600, 30, Sleep stage 3, 
20-7月-1994, 05:00:00, 18630, 240, Sleep stage 2, 
20-7月-1994, 05:04:00, 18870, 30, Sleep stage 3, 
20-7月-1994, 05:04:30, 18900, 60, Sleep stage 2, 
20-7月-1994, 05:05:30, 18960, 30, Sleep stage 3, 
20-7月-1994, 05:06:00, 18990, 30, Sleep stage W, 
20-7月-1994, 05:06:30, 19020, 30, Sleep stage 1, 
20-7月-1994, 05:07:00, 19050, 30, Sleep stage 2, 
20-7月-1994, 05:07:30, 19080, 30, Sleep stage W, 
20-7月-1994, 05:08:00, 19110, 150, Sleep stage 1, 
20-7月-1994, 05:10:30, 19260, 90, Sleep stage 2, 
20-7月-1994, 05:12:00, 19350, 30, Sleep stage W, 
20-7月-1994, 05:12:30, 19380, 30, Sleep stage 1, 
20-7月-1994, 05:13:00, 19410, 30, Sleep stage 2, 
20-7月-1994, 05:13:30, 19440, 1890, Sleep stage R, 
20-7月-1994, 05:45:00, 21330, 600, Sleep stage 2, 
20-7月-1994, 05:55:00, 21930, 30, Sleep stage 1, 
20-7月-1994, 05:55:30, 21960, 540, Sleep stage 2, 
20-7月-1994, 06:04:30, 22500, 60, Sleep stage 1, 
20-7月-1994, 06:05:30, 22560, 2010, Sleep stage 2, 
20-7月-1994, 06:39:00, 24570, 30, Sleep stage W, 
20-7月-1994, 06:39:30, 24600, 30, Sleep stage 1, 
20-7月-1994, 06:40:00, 24630, 30, Sleep stage W, 
20-7月-1994, 06:40:30, 24660, 30, Sleep stage 1, 
20-7月-1994, 06:41:00, 24690, 30, Sleep stage W, 
20-7月-1994, 06:41:30, 24720, 60, Sleep stage 1, 
20-7月-1994, 06:42:30, 24780, 60, Sleep stage W, 
20-7月-1994, 06:43:30, 24840, 150, Sleep stage 1, 
20-7月-1994, 06:46:00, 24990, 60, Sleep stage 2, 
20-7月-1994, 06:47:00, 25050, 60, Sleep stage 1, 
20-7月-1994, 06:48:00, 25110, 150, Sleep stage 2, 
20-7月-1994, 06:50:30, 25260, 1770, Sleep stage R, 
20-7月-1994, 07:20:00, 27030, 60, Sleep stage W, 
20-7月-1994, 07:21:00, 27090, 30, Sleep stage 1, 
20-7月-1994, 07:21:30, 27120, 150, Sleep stage R, 
20-7月-1994, 07:24:00, 27270, 90, Sleep stage W, 
20-7月-1994, 07:25:30, 27360, 90, Sleep stage 1, 
20-7月-1994, 07:27:00, 27450, 30, Sleep stage W, 
20-7月-1994, 07:27:30, 27480, 270, Sleep stage 1, 
20-7月-1994, 07:32:00, 27750, 2310, Sleep stage 2, 
20-7月-1994, 08:10:30, 30060, 930, Sleep stage W, 
